20230306	00:11:21	045a7bb5-6240-48e6-a9ee-57cb2ee10a4f	DELETE	undefined	/employees
20230306	00:11:36	050ab1ee-1dde-426c-b99b-4423ba6b1a8c	GET	undefined	/employees/1
20230306	17:44:41	f8d38114-290e-4da2-93c8-4e5c0b849fcb	POST	undefined	/register
20230306	17:45:17	899081de-cecd-4d2c-9a50-c37534f55dcd	POST	undefined	/register
20230306	17:55:59	7dd3b7b8-789f-424c-9642-08d1b7a2a8ca	POST	undefined	/auth
20230306	17:56:09	3eb30a98-67e6-4ad7-b56f-d9291122c617	POST	undefined	/auth
20230306	17:56:30	82504520-bcdf-4885-a7a5-041a0ffdf970	POST	undefined	/register
20230306	23:24:57	27d145f6-38d4-4b27-bfff-f2c4061ed9df	POST	undefined	/auth
20230306	23:25:32	5126dfd6-9156-4795-a95a-3e00bbcd4025	GET	undefined	/employees
20230306	23:25:58	84ad47d1-94f8-42d6-a356-285d1006a8b1	POST	undefined	/auth
20230306	23:26:06	cc95a839-1426-4033-9041-7079f7d9a829	GET	undefined	/employees
20230306	23:26:27	1f67b037-e97e-4808-ae1b-de00a400af03	GET	undefined	/employees
20230306	23:26:30	2abf27f3-f009-447e-aea2-bc97b1f8033f	GET	undefined	/employees
20230306	23:26:33	6451b07a-eecb-4121-98f1-dc1ae0994f04	GET	undefined	/employees
20230306	23:28:59	ffc8c94e-2468-4ce1-9f09-695c9c045f8c	POST	undefined	/auth
20230306	23:29:15	41d37b4d-2866-4be7-8226-283255af63ae	GET	undefined	/employees
20230306	23:29:26	6d5e3192-b2e7-4bc4-b372-3aaa3dc7e820	GET	undefined	/employees
20230306	23:29:27	1bef3297-7e88-48d7-9778-8a48360ceace	GET	undefined	/employees
20230306	23:29:27	0da1d32e-9cf9-4bb8-863f-01346bf18323	GET	undefined	/employees
20230306	23:29:28	2316c601-b161-4bae-9cbe-b099bcd67e79	GET	undefined	/employees
20230306	23:29:29	0182d393-b43f-49d0-b762-0b8ecd55ad76	GET	undefined	/employees
20230306	23:29:49	527e8129-983c-45dc-aaf7-11102d0a53ea	POST	undefined	/employees
20230306	23:42:47	a7a7141e-cb6e-4a37-85fc-fd4ea8c05420	POST	undefined	/auth
20230306	23:44:22	ef16f82c-803c-4d96-853c-35f5b3ba206b	GET	undefined	/refresh
20230306	23:44:45	5f6adfef-84a1-43b5-9906-3b4052cb0329	GET	undefined	/refresh
